user_id,id,price,beds,livings,wc,area,street_width,age,street_direction,ketchen,furnished,district,width,length,advertiser_type,city_side,district_en,time_on_market,time_since_update,last_update_year,last_update_month,last_update_day,last_update_hour,create_time_year,create_time_month,create_time_day,create_time_hour,latitude,longitude,squareness,regular_shapeness
2038202,4352048,1100000,3,1,3,169,30,2,2,1,0,حي الياسمين,,,exclusive_marketer,north,Al Yasmin Dist.,90,24,2022,7,30,10,2022,5,25,19,24.81723,46.65654,,
341097,4561142,1249000,3,1,3,138,30,4,4,1,0,حي الملقا,,,agent,north,Al Malqa Dist.,28,13,2022,8,10,18,2022,7,26,20,24.818354,46.601323,,
857195,4606334,950000,5,1,3,167,36,4,5,1,0,حي القيروان,10.0,16.0,exclusive_marketer,north,Al Qirawan Dist.,15,13,2022,8,10,19,2022,8,7,23,24.828419,46.58429,0.625,1.04375
841809,4504065,1200000,3,1,3,162,35,4,1,1,0,حي الياسمين,75.0,2.0,owner,north,Al Yasmin Dist.,47,16,2022,8,7,19,2022,7,7,15,24.834671,46.655327,0.02666666666666667,1.08
1919578,4463110,860000,3,1,2,117,36,2,1,1,0,حي العارض,10.0,11.0,exclusive_marketer,north,Al Arid Dist.,59,19,2022,8,4,19,2022,6,24,21,24.885782,46.604057,0.9090909090909091,1.0636363636363637
846018,4470656,1250000,4,3,4,270,31,1,7,1,1,حي العارض,145.0,1.0,owner,north,Al Arid Dist.,58,15,2022,8,7,23,2022,6,26,20,24.91143,46.616035,0.006896551724137931,1.8620689655172413
485590,4561353,850000,3,1,3,133,30,1,3,1,0,حي القيروان,12.0,11.0,exclusive_marketer,north,Al Qirawan Dist.,27,12,2022,8,11,13,2022,7,26,21,24.842356,46.600796,0.9166666666666666,1.0075757575757576
1603966,4611619,839000,3,1,3,900,32,0,3,1,0,حي العارض,30.0,30.0,owner,north,Al Arid Dist.,14,14,2022,8,9,11,2022,8,9,11,24.890276,46.612946,1.0,1.0
364282,4617298,1000000,1,0,1,45,5,2,3,1,1,حي العليا,5.0,9.0,agent,north,Al Olaya Dist.,13,11,2022,8,12,0,2022,8,10,16,24.709867,46.672497,0.5555555555555556,1.0
779332,4480064,1350000,3,2,3,153,30,0,5,1,0,حي الياسمين,153.0,1.0,owner,north,Al Yasmin Dist.,55,23,2022,7,31,1,2022,6,29,14,24.833658,46.651787,0.006535947712418301,1.0
1919578,4378715,1290000,4,1,3,167,37,0,4,1,1,حي العارض,10.0,16.0,exclusive_marketer,north,Al Arid Dist.,82,11,2022,8,12,15,2022,6,2,14,24.883774,46.629574,0.625,1.04375
1401039,4521449,900000,2,1,2,106,30,3,1,1,0,حي التعاون,1.0,106.0,agent,north,Al Taawun Dist.,38,21,2022,8,2,18,2022,7,16,1,24.770699,46.692101,0.009433962264150943,1.0
1549835,4595780,1550000,4,1,1,110,30,0,4,1,1,حي العقيق,,,normal_marketer,north,Al Aqiq Dist.,18,18,2022,8,5,2,2022,8,5,2,24.780563,46.619884,,
1109261,4528618,1000000,2,1,3,178,5,,6,0,0,حي العارض,10.0,17.0,exclusive_marketer,north,Al Arid Dist.,36,30,2022,7,24,13,2022,7,17,22,24.883673,46.629051,0.5882352941176471,1.0470588235294118
837889,4622245,1100000,2,2,2,108,5,2,1,1,0,حي الملقا,,,owner,north,Al Malqa Dist.,12,11,2022,8,11,20,2022,8,11,19,24.779688,46.585834,,
355618,4393349,1300000,3,1,3,130,20,0,4,1,0,حي النفل,10.0,13.0,agent,north,Al Nafl Dist.,78,14,2022,8,8,22,2022,6,6,17,24.781912,46.670799,0.7692307692307693,1.0
1397191,4600544,990000,3,2,3,134,35,0,4,0,0,حي العارض,10.0,13.0,agent,north,Al Arid Dist.,17,12,2022,8,11,8,2022,8,6,16,24.883566,46.628845,0.7692307692307693,1.0307692307692307
1757201,4612292,1200000,3,2,3,150,36,1,2,1,0,حي الياسمين,10.0,15.0,agent,north,Al Yasmin Dist.,14,13,2022,8,10,2,2022,8,9,14,24.828722,46.629139,0.6666666666666666,1.0
1983864,4531920,1000000,2,1,2,126,25,1,3,1,0,حي الملقا,1.0,126.0,owner,north,Al Malqa Dist.,36,15,2022,8,7,22,2022,7,18,19,24.781046,46.584835,0.007936507936507936,1.0
1270268,4242035,1580000,1,1,2,89,20,8,1,1,1,حي الصحافة,89.0,89.0,exclusive_marketer,north,As Sahafah Dist.,130,14,2022,8,9,16,2022,4,15,20,24.79302,46.632221,1.0,0.011235955056179775
995587,4397601,1200000,4,1,3,138,30,0,4,0,0,حي النرجس,138.0,1.0,agent,north,An Narjis Dist.,77,12,2022,8,11,18,2022,6,7,18,24.853361,46.655373,0.007246376811594203,1.0
861107,4462093,1250000,3,1,3,144,30,3,1,1,0,حي القيروان,10.0,14.0,agent,north,Al Qirawan Dist.,60,15,2022,8,8,8,2022,6,24,16,24.83604,46.599525,0.7142857142857143,1.0285714285714285
383361,4348071,1100000,2,2,3,166,20,0,7,1,0,حي الملقا,11.0,15.0,agent,north,Al Malqa Dist.,91,24,2022,7,30,18,2022,5,24,18,24.779837,46.58551,0.7333333333333333,1.006060606060606
813639,4408860,1149000,4,1,3,145,30,1,6,1,0,حي الندى,10.0,14.0,exclusive_marketer,north,An Nada Dist.,73,11,2022,8,12,6,2022,6,10,20,24.801495,46.683727,0.7142857142857143,1.0357142857142858
1790232,4291281,1200000,4,1,4,145,36,0,4,1,1,حي الملقا,,,normal_marketer,north,Al Malqa Dist.,106,14,2022,8,9,4,2022,5,9,0,24.809742,46.59436,,
2451753,4291690,1449000,4,1,4,196,30,3,7,1,0,حي الملقا,11.0,18.0,exclusive_marketer,north,Al Malqa Dist.,106,14,2022,8,9,12,2022,5,9,6,24.813372,46.591412,0.6111111111111112,0.98989898989899
779332,4494147,1490000,4,2,4,141,29,0,2,1,0,حي النخيل,141.0,1.0,agent,north,Al Nakhil Dist.,50,23,2022,7,31,1,2022,7,3,23,24.731054,46.609093,0.0070921985815602835,1.0
1281359,4555925,1800000,1,1,2,81,100,6,5,1,1,حي الصحافة,,,exclusive_marketer,north,As Sahafah Dist.,29,27,2022,7,27,17,2022,7,25,14,24.79253,46.632156,,
1832012,4143723,950000,3,2,3,140,45,1,3,1,0,حي القيروان,,,exclusive_marketer,north,Al Qirawan Dist.,159,14,2022,8,9,20,2022,3,17,0,24.842403,46.600876,,
53914,4573305,799000,2,1,2,99,30,0,6,1,0,حي العارض,9.0,11.0,owner,north,Al Arid Dist.,24,14,2022,8,9,10,2022,7,30,14,24.869083,46.624201,0.8181818181818182,1.0
1919578,4348368,1180000,3,1,3,90,36,,2,1,0,حي النخيل,16.0,5.0,exclusive_marketer,north,Al Nakhil Dist.,91,21,2022,8,2,10,2022,5,24,19,24.738062,46.608852,0.3125,1.125
